loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,disc_year,pl_orbper,pl_rade,pl_masse,pl_eqt,st_spectype,st_teff,sy_dist
35705,TOI-1136 b,TOI-1136,b,1,6,2022,4.17278,1.9,NA,NA,NA,5770,84.5362
35708,TOI-1136 c,TOI-1136,c,1,6,2022,6.25725,2.879,NA,NA,NA,5770,84.5362
35712,TOI-1136 d,TOI-1136,d,1,6,2022,12.5199,NA,8.35,843,NA,5770,84.5362
35716,TOI-1136 e,TOI-1136,e,1,6,2022,18.80693,2.5456702,24,669.11,NA,5805,84.5362
35720,TOI-1136 f,TOI-1136,f,1,6,2022,26.321,NA,9.7,658,NA,5770,84.5362
35724,TOI-1136 g,TOI-1136,g,1,6,2022,39.5387,2.53,12.2,574,NA,5805,84.5362
38724,omi CrB b,omi CrB,b,1,1,2012,187.01,NA,NA,NA,K0 III,4769,84.7883
11864,Kepler-1365 b,Kepler-1365,b,1,2,2016,7.69993485,0.79,NA,891,NA,5831,840.128
11874,Kepler-1365 c,Kepler-1365,c,1,2,2016,4.77468005,0.8,NA,NA,NA,5770,840.128
18041,Kepler-1872 b,Kepler-1872,b,1,1,2021,3.8259005,3.45,NA,1005,NA,5223,840.182
26264,Kepler-403 b,Kepler-403,b,1,3,2014,7.031462,1.25,NA,NA,NA,6090,840.269
26277,Kepler-403 c,Kepler-403,c,1,3,2014,54.2811949,NA,NA,NA,NA,6111.03,840.269
26290,Kepler-403 d,Kepler-403,d,1,3,2016,13.61159129,1.764,NA,NA,NA,NA,840.269
9808,Kepler-1218 b,Kepler-1218,b,1,1,2016,22.9221266,1.36,NA,684,NA,5897,840.503
27401,Kepler-474 b,Kepler-474,b,1,1,2016,5.660672935,3.06,NA,NA,NA,5785,841.496
8427,Kepler-1111 b,Kepler-1111,b,1,1,2016,NA,1.413,NA,NA,NA,6158,841.536
8618,Kepler-1127 b,Kepler-1127,b,1,1,2016,5.12330347,1.58,NA,907,NA,5510,842.459
18783,Kepler-1942 b,Kepler-1942,b,1,1,2021,4.626049995,2.1170287,NA,NA,NA,5834,842.492
30757,Kepler-695 b,Kepler-695,b,1,1,2016,3.040330424,9.21,NA,NA,NA,5181,842.947
28685,Kepler-552 b,Kepler-552,b,1,1,2016,5.263415765,3.86,NA,1100,NA,6091,843.689
26712,Kepler-426 b,Kepler-426,b,1,1,2014,3.217518511,NA,NA,NA,NA,5549,843.695
11627,Kepler-1346 b,Kepler-1346,b,1,1,2016,3.40165617,NA,NA,NA,NA,5679.72,843.701
303,CoRoT-20 b,CoRoT-20,b,1,2,2011,9.24285,9.42,1347.54,1002,G2 V,5880,844.061
309,CoRoT-20 c,CoRoT-20,c,1,2,2018,1675,NA,NA,NA,NA,NA,844.061
14833,Kepler-1595 b,Kepler-1595,b,1,1,2016,NA,1.127,NA,NA,NA,5405,845.022
11755,Kepler-1356 b,Kepler-1356,b,1,1,2016,NA,1.322,NA,NA,NA,5228,845.228
29578,Kepler-610 b,Kepler-610,b,1,2,2016,6.996926554,4.19,NA,NA,NA,5943,845.824
29588,Kepler-610 c,Kepler-610,c,1,2,2016,151.865476216,NA,NA,NA,NA,5581,845.824
26165,Kepler-400 b,Kepler-400,b,1,2,2014,9.02436094,NA,NA,NA,NA,5915.11,845.97
26175,Kepler-400 c,Kepler-400,c,1,2,2014,17.34088462,1.5,NA,786,NA,6099,845.97
3036,HD 233604 b,HD 233604,b,1,1,2013,192,NA,NA,NA,K5,4791,847.058
13882,Kepler-1517 b,Kepler-1517,b,1,1,2016,5.546083665,20.24,NA,2335,NA,7358,847.299
15750,Kepler-1678 b,Kepler-1678,b,1,1,2020,147.9724,3.5,NA,347,NA,6034,847.339
27504,Kepler-480 b,Kepler-480,b,1,1,2016,4.919576,2.45,NA,1246,NA,6485,847.508
26484,Kepler-413 b,Kepler-413,b,2,1,2014,66.262,4.347,67,NA,NA,4700,847.536
26818,Kepler-432 b,Kepler-432,b,2,2,2015,52.5010768,12.39,NA,816,NA,4995,848.023
26832,Kepler-432 c,Kepler-432,c,2,2,2015,406.2,NA,NA,NA,NA,4995,848.023
6414,KOI-351 b,KOI-351,b,1,8,2013,7.008151,1.31,NA,NA,NA,6080,848.254
6424,KOI-351 c,KOI-351,c,1,8,2013,8.71982853,1.445,NA,NA,NA,NA,848.254
6434,KOI-351 d,KOI-351,d,1,8,2013,59.73716,2.5,NA,518,NA,6330,848.254
6445,KOI-351 e,KOI-351,e,1,8,2013,91.9404603,2.32,NA,450,NA,6238,848.254
6456,KOI-351 f,KOI-351,f,1,8,2013,NA,3.402,NA,NA,NA,6015,848.254
6465,KOI-351 g,KOI-351,g,1,8,2013,210.603,8.07048,254.264,NA,NA,6080,848.254
6478,KOI-351 h,KOI-351,h,1,8,2013,331.5972732,10.89,NA,294,NA,5970,848.254
33551,Kepler-90 i,KOI-351,i,1,8,2017,14.44912,1.32,NA,NA,NA,NA,848.254
33953,Kepler-930 b,Kepler-930,b,1,1,2016,71.4512030159,NA,NA,NA,NA,5875,848.396
17796,Kepler-1856 b,Kepler-1856,b,1,1,2021,1.302000046,1.73447868,NA,NA,NA,4948,848.76
33740,Kepler-915 b,Kepler-915,b,1,1,2016,4.59489604,1.24,NA,1321,NA,6432,849.036
10488,Kepler-1266 b,Kepler-1266,b,1,2,2016,28.474748,2.453,NA,NA,NA,4976,849.312
10499,Kepler-1266 c,Kepler-1266,c,1,2,2021,4.86634094,NA,NA,NA,NA,5004,849.312
3813,HD 96167 b,HD 96167,b,2,1,2009,498.1,NA,NA,NA,G5,5733,85.3006
5492,K2-406 b,K2-406,b,1,1,2022,22.549406,4.602,NA,NA,NA,5784,85.3751
3663,HD 80869 b,HD 80869,b,1,1,2021,1711.7,NA,NA,203.2,G1 V,5837,85.3951
3618,HD 75784 b,HD 75784,b,1,2,2014,341.7,NA,NA,NA,K3 IV,4917,85.4321
3621,HD 75784 c,HD 75784,c,1,2,2018,3878,NA,NA,NA,G5,4867,85.4321
3360,HD 43691 b,HD 43691,b,3,1,2007,36.9987,NA,NA,NA,G0,6093,85.6009
2788,HD 2039 b,HD 2039,b,1,1,2002,1120,NA,NA,NA,NA,5945,85.6922
3674,HD 81688 b,HD 81688,b,1,1,2007,183.93,NA,NA,NA,K0 III-IV,4797,85.7183
36807,TOI-561 b,TOI-561,b,1,4,2020,0.446578,1.423,1.59,NA,G9 V,5455,85.799
36814,TOI-561 c,TOI-561,c,1,4,2020,10.778833,2.6584,NA,791,NA,5391,85.799
36822,TOI-561 d,TOI-561,d,1,4,2020,25.71255,2.72148317,11,552.84,NA,5342,85.799
36828,TOI-561 e,TOI-561,e,1,4,2020,NA,3.18580584,NA,156.67,NA,5391,85.799
35922,TOI-1443 b,TOI-1443,b,1,1,2024,23.5407467,2.11441,NA,564,NA,5236,85.8034
30011,Kepler-639 b,Kepler-639,b,1,1,2016,10.21420496,2.17,NA,929,NA,5850,850.242
33065,Kepler-861 b,Kepler-861,b,1,1,2016,3.9496328,NA,NA,NA,NA,4931.85,850.327
18244,Kepler-1892 b,Kepler-1892,b,1,1,2021,6.3312784,1.48,NA,821,NA,5376,851.595
21909,Kepler-268 b,Kepler-268,b,1,2,2014,25.9342243844,NA,NA,NA,NA,6005.31,851.87
21921,Kepler-268 c,Kepler-268,c,1,2,2014,83.4463335,2.52,NA,479,NA,6322,851.87
18868,Kepler-1952 b,Kepler-1952,b,1,1,2021,27.21038339,NA,NA,NA,NA,5908.74,852.062
12360,Kepler-1398 b,Kepler-1398,b,1,2,2016,2.78815679,0.77,NA,1382,NA,6245,852.204
12370,Kepler-1398 c,Kepler-1398,c,1,2,2016,4.13827595,0.84,NA,1211,NA,6245,852.204
35046,NGC 2682 Sand 1429 b,NGC 2682 Sand 1429,b,1,1,2024,77.48,NA,NA,683,F9.5 V,6000,852.793
13215,Kepler-1467 b,Kepler-1467,b,1,1,2016,47.0569043,3.3,NA,NA,NA,5332,852.888
31073,Kepler-724 b,Kepler-724,b,1,1,2016,NA,3.527,NA,NA,NA,5611,853.119
17803,Kepler-1857 b,Kepler-1857,b,1,1,2021,8.94343618,1.5,NA,946,NA,6074,853.275
11605,Kepler-1344 b,Kepler-1344,b,1,1,2016,4.76831033,1.78,NA,1219,NA,6237,853.959
29006,Kepler-575 b,Kepler-575,b,1,1,2016,9.3789167,NA,NA,NA,NA,5545,853.977
10988,Kepler-1301 b,Kepler-1301,b,1,1,2016,9.08233411,NA,NA,NA,NA,5112,854.28
